BioSample	SRA_Run	SRA_SampID	age	biomaterial_provider	cell_line	cell_type	isolate	replicate	sample_type	sex	tissue
SAMN06621548	SRR5365378	SRS2062852	newborn	ATCC	BJ	fibroblast	cell line	Bulk 1	cell culture	male	skin; foreskin
SAMN06621549	SRR5365377	SRS2062850	newborn	ATCC	BJ	fibroblast	cell line	Bulk 2	cell culture	male	skin; foreskin
SAMN06621550	SRR5365376	SRS2062851	newborn	ATCC	BJ	fibroblast	cell line	LIANTI Single Cell BJ1	single cell	male	skin; foreskin
SAMN06621551	SRR5365375	SRS2062849	newborn	ATCC	BJ	fibroblast	cell line	LIANTI Single Cell BJ2	single cell	male	skin; foreskin
SAMN06621552	SRR5365374	SRS2062848	newborn	ATCC	BJ	fibroblast	cell line	LIANTI Single Cell BJ3	single cell	male	skin; foreskin
SAMN06621553	SRR5365373	SRS2062847	newborn	ATCC	BJ	fibroblast	cell line	MDA (Qiagen) Single Cell Q1	single cell	male	skin; foreskin
SAMN06621554	SRR5365372	SRS2062845	newborn	ATCC	BJ	fibroblast	cell line	MDA (Qiagen) Single Cell Q5	single cell	male	skin; foreskin
SAMN06621555	SRR5365371	SRS2062846	newborn	ATCC	BJ	fibroblast	cell line	MDA (Qiagen) Single Cell Q9	single cell	male	skin; foreskin
SAMN06621556	SRR5365370	SRS2062844	newborn	ATCC	BJ	fibroblast	cell line	MALBAC (Yikon) Single Cell YK1	single cell	male	skin; foreskin
SAMN06621557	SRR5365369	SRS2062843	newborn	ATCC	BJ	fibroblast	cell line	MALBAC (Yikon) Single Cell YK2	single cell	male	skin; foreskin
SAMN06621558	SRR5365368	SRS2062840	newborn	ATCC	BJ	fibroblast	cell line	MALBAC (Yikon) Single Cell YK5	single cell	male	skin; foreskin
SAMN06621559	SRR5365367	SRS2062841	newborn	ATCC	BJ	fibroblast	cell line	DOP-PCR (Sigma) Single Cell S3	single cell	male	skin; foreskin
SAMN06621560	SRR5365366	SRS2062842	newborn	ATCC	BJ	fibroblast	cell line	DOP-PCR (Sigma) Single Cell S4	single cell	male	skin; foreskin
SAMN06621561	SRR5365365	SRS2062839	newborn	ATCC	BJ	fibroblast	cell line	DOP-PCR (Sigma) Single Cell S5	single cell	male	skin; foreskin
SAMN06621562	SRR5365364	SRS2062838	newborn	ATCC	BJ	fibroblast	cell line	MDA (GE) Single Cell GE2	single cell	male	skin; foreskin
SAMN06621563	SRR5365363	SRS2062837	newborn	ATCC	BJ	fibroblast	cell line	MDA (GE) Single Cell GE4	single cell	male	skin; foreskin
SAMN06621564	SRR5365362	SRS2062836	newborn	ATCC	BJ	fibroblast	cell line	MDA (GE) Single Cell GE10	single cell	male	skin; foreskin
SAMN06621565	SRR5365361	SRS2062835	newborn	ATCC	BJ	fibroblast	cell line	MALBAC-like (Rubicon) Single Cell R3	single cell	male	skin; foreskin
SAMN06621566	SRR5365360	SRS2062833	newborn	ATCC	BJ	fibroblast	cell line	MALBAC-like (Rubicon) Single Cell R7	single cell	male	skin; foreskin
SAMN06621567	SRR5365359	SRS2062832	newborn	ATCC	BJ	fibroblast	cell line	MALBAC-like (Rubicon) Single Cell R9	single cell	male	skin; foreskin
SAMN06621568	SRR5365358	SRS2062834	newborn	ATCC	BJ	fibroblast	cell line	UDG Single Cell 1	single cell	male	skin; foreskin
SAMN06621569	SRR5365357	SRS2062830	newborn	ATCC	BJ	fibroblast	cell line	UV 5 J/m2 Single Cell 1 Kindred 1	single cell	male	skin; foreskin
SAMN06621570	SRR5365348	SRS2062829	newborn	ATCC	BJ	fibroblast	cell line	UV 5 J/m2 Single Cell 1 Kindred 2	single cell	male	skin; foreskin
SAMN06621571	SRR5365347	SRS2062831	newborn	ATCC	BJ	fibroblast	cell line	UV 15 J/m2 Single Cell 1 Kindred 1	single cell	male	skin; foreskin
SAMN06621572	SRR5365354	SRS2062828	newborn	ATCC	BJ	fibroblast	cell line	UV 15 J/m2 Single Cell 1 Kindred 2	single cell	male	skin; foreskin
SAMN06621573	SRR5365345	SRS2062827	newborn	ATCC	BJ	fibroblast	cell line	UV 30 J/m2 Single Cell 1 Kindred 1	single cell	male	skin; foreskin
SAMN06621574	SRR5365344	SRS2062826	newborn	ATCC	BJ	fibroblast	cell line	UV 30 J/m2 Single Cell 1 Kindred 2	single cell	male	skin; foreskin
SAMN06621575	SRR5365351	SRS2062825	newborn	ATCC	BJ	fibroblast	cell line	UV 30 J/m2 Single Cell 2 Kindred 1	single cell	male	skin; foreskin
SAMN06621576	SRR5365350	SRS2062823	newborn	ATCC	BJ	fibroblast	cell line	UV 30 J/m2 Single Cell 2 Kindred 2	single cell	male	skin; foreskin
SAMN06621577	SRR5365341	SRS2062824	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S1	single cell	male	skin; foreskin
SAMN06621578	SRR5365340	SRS2062822	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S2	single cell	male	skin; foreskin
SAMN06621579	SRR5365339	SRS2062820	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S3	single cell	male	skin; foreskin
SAMN06621580	SRR5365338	SRS2062821	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S4	single cell	male	skin; foreskin
SAMN06621581	SRR5365337	SRS2062819	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S5	single cell	male	skin; foreskin
SAMN06621582	SRR5365336	SRS2062818	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S6	single cell	male	skin; foreskin
SAMN06621583	SRR5365335	SRS2062817	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S7	single cell	male	skin; foreskin
SAMN06621585	SRR5365333	SRS2062815	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S9	single cell	male	skin; foreskin
SAMN06621586	SRR5365332	SRS2062813	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S10	single cell	male	skin; foreskin
SAMN06621587	SRR5365331	SRS2062814	newborn	ATCC	BJ	fibroblast	cell line	Replicating S-Phase Single Cell S11	single cell	male	skin; foreskin
